date,station,tree_total,tree_level,top_tree_species,weed_total,weed_level,top_weed_species,grass_total,grass_level,top_grass_species,mold_total,mold_level,top_mold_species,weather_notes
2000-01-01,"Oregon Allergy Associates, Eugene,  Oregon ",2.0,Low,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-01-02,"Oregon Allergy Associates, Eugene,  Oregon ",6.0,Low,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-01-03,"Oregon Allergy Associates, Eugene,  Oregon ",7.0,Low,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-01-04,"Oregon Allergy Associates, Eugene,  Oregon ",41.0,Medium,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-01-05,"Oregon Allergy Associates, Eugene,  Oregon ",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-01-07,"Oregon Allergy Associates, Eugene,  Oregon ",2.0,Low,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-01-08,"Oregon Allergy Associates, Eugene,  Oregon ",18.0,Medium,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2000-12-30,"Oregon Allergy Associates, Eugene,  Oregon ",16.0,Medium,"Juniper family, Cedar; Hazelnut",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-01-23,"Oregon Allergy Associates, Eugene,  Oregon ",34.0,Medium,"Hazelnut; Juniper family, Cedar; Alder",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-01-24,"Oregon Allergy Associates, Eugene,  Oregon ",57.0,Medium,"Hazelnut; Juniper family, Cedar; Alder",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-01-25,"Oregon Allergy Associates, Eugene,  Oregon ",3.0,Low,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-06,"Oregon Allergy Associates, Eugene,  Oregon ",14.0,Low,"Hazelnut; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-07,"Oregon Allergy Associates, Eugene,  Oregon ",9.0,Low,Hazelnut,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-08,"Oregon Allergy Associates, Eugene,  Oregon ",6.0,Low,Hazelnut,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-14,"Oregon Allergy Associates, Eugene,  Oregon ",14.0,Low,Hazelnut; Pine Family with air bladders,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-15,"Oregon Allergy Associates, Eugene,  Oregon ",24.0,Medium,"Juniper family, Cedar; Hazelnut",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-20,"Oregon Allergy Associates, Eugene,  Oregon ",15.0,Medium,"Hazelnut; Juniper family, Cedar; Alder",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-21,"Oregon Allergy Associates, Eugene,  Oregon ",30.0,Medium,"Hazelnut; Juniper family, Cedar; Elm",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-22,"Oregon Allergy Associates, Eugene,  Oregon ",3.0,Low,"Juniper family, Cedar; Hazelnut; Elm",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-02-28,"Oregon Allergy Associates, Eugene,  Oregon ",95.0,High,"Juniper family, Cedar; Hazelnut; Alder",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-01,"Oregon Allergy Associates, Eugene,  Oregon ",89.0,Medium,"Juniper family, Cedar; Hazelnut; Elm",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-06,"Oregon Allergy Associates, Eugene,  Oregon ",35.0,Medium,"Juniper family, Cedar; Alder; Hazelnut",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-07,"Oregon Allergy Associates, Eugene,  Oregon ",150.0,High,"Juniper family, Cedar; Alder; Poplar, Cottonwood, Aspen",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-08,"Oregon Allergy Associates, Eugene,  Oregon ",90.0,High,"Alder; Poplar, Cottonwood, Aspen; Hazelnut",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-13,"Oregon Allergy Associates, Eugene,  Oregon ",142.0,High,"Poplar, Cottonwood, Aspen; Alder; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-14,"Oregon Allergy Associates, Eugene,  Oregon ",139.0,High,"Juniper family, Cedar; Poplar, Cottonwood, Aspen; Alder",0.0,Not Present,,2.0,Low,"Grass Family, all types",0.0,Not Present,,
2001-03-22,"Oregon Allergy Associates, Eugene,  Oregon ",60.0,Medium,"Alder; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-23,"Oregon Allergy Associates, Eugene,  Oregon ",153.0,High,"Juniper family, Cedar; Alder; Poplar, Cottonwood, Aspen",0.0,Not Present,,3.0,Low,"Grass Family, all types",0.0,Not Present,,
2001-03-26,"Oregon Allergy Associates, Eugene,  Oregon ",10.0,Low,"Alder; Juniper family, Cedar; Poplar, Cottonwood, Aspen",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-27,"Oregon Allergy Associates, Eugene,  Oregon ",64.0,Medium,"Alder; Juniper family, Cedar; Ash",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-03-28,"Oregon Allergy Associates, Eugene,  Oregon ",6.0,Low,"Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-02,"Oregon Allergy Associates, Eugene,  Oregon ",29.0,Medium,"Birch; Alder; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-03,"Oregon Allergy Associates, Eugene,  Oregon ",18.0,Medium,Birch; Ash; Hornbeam/Hop hornbeam,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-10,"Oregon Allergy Associates, Eugene,  Oregon ",44.0,Medium,Ash; Birch; Hornbeam/Hop hornbeam,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-11,"Oregon Allergy Associates, Eugene,  Oregon ",11.0,Low,Birch; Ash,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-12,"Oregon Allergy Associates, Eugene,  Oregon ",90.0,High,Ash; Birch; Hornbeam/Hop hornbeam,0.0,Not Present,,5.0,Medium,"Grass Family, all types",0.0,Not Present,,
2001-04-13,"Oregon Allergy Associates, Eugene,  Oregon ",44.0,Medium,Birch; Hornbeam/Hop hornbeam; Alder,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-14,"Oregon Allergy Associates, Eugene,  Oregon ",22.0,Medium,Ash; Hornbeam/Hop hornbeam; Birch,0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2001-04-16,"Oregon Allergy Associates, Eugene,  Oregon ",135.0,High,Ash; Hornbeam/Hop hornbeam; Birch,0.0,Not Present,,4.0,Low,"Grass Family, all types",0.0,Not Present,,
