date,station,tree_total,tree_level,top_tree_species,weed_total,weed_level,top_weed_species,grass_total,grass_level,top_grass_species,mold_total,mold_level,top_mold_species,weather_notes
2021-04-16,Allergy Clinic,0.0,Low,,0.0,Low,,0.0,Low,,0.0,Low,,
2021-04-20,Allergy Clinic,138.0,High,"Willow; Juniper family, Cedar; Elm",0.0,Low,,2.0,Low,"Grass Family, all types",0.0,Low,,
2021-04-22,Allergy Clinic,183.0,High,"Willow; Alder; Juniper family, Cedar",0.0,Low,,15.0,Medium,"Grass Family, all types",0.0,Low,,
2021-04-23,Allergy Clinic,0.0,Low,,0.0,Low,,0.0,Low,,0.0,Low,,
2021-04-27,Allergy Clinic,27.0,Medium,Willow; Oak; Ash,0.0,Low,,9.0,Medium,"Grass Family, all types",0.0,Low,,
2021-04-28,Allergy Clinic,50.0,Medium,Willow; Hemlock; Pine Family with air bladders,0.0,Low,,15.0,Medium,"Grass Family, all types",0.0,Low,,
2021-04-29,Allergy Clinic,70.0,Medium,"Willow; Maple, Box elder; Alder",0.0,Low,,14.0,Medium,"Grass Family, all types",0.0,Low,,
2021-05-04,Allergy Clinic,30.0,Medium,Pine Family with air bladders; Willow; Elm,0.0,Low,,4.0,Low,"Grass Family, all types",0.0,Low,,
2021-05-05,Allergy Clinic,55.0,Medium,"Willow; Pine Family with air bladders; Poplar, Cottonwood, Aspen",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2021-05-11,Allergy Clinic,59.0,Medium,"Pine Family with air bladders; Willow; Poplar, Cottonwood, Aspen",0.0,Low,,7.0,Medium,"Grass Family, all types",0.0,Low,,
2021-05-12,Allergy Clinic,59.0,Medium,"Juniper family, Cedar; Pine Family with air bladders; Maple, Box elder",0.0,Low,,5.0,Medium,"Grass Family, all types",0.0,Low,,
2021-05-13,Allergy Clinic,89.0,Medium,"Juniper family, Cedar; Willow; Maple, Box elder",0.0,Low,,6.0,Medium,"Grass Family, all types",0.0,Low,,
2021-05-18,Allergy Clinic,45.0,Medium,Pine Family with air bladders; All identified tree pollen not counted elsewhere; Oak,0.0,Low,,9.0,Medium,"Grass Family, all types",0.0,Low,,
2021-05-19,Allergy Clinic,31.0,Medium,Pine Family with air bladders; Ash; Oak,0.0,Low,,0.0,Low,,0.0,Low,,
2021-05-20,Allergy Clinic,21.0,Medium,"Pine Family with air bladders; Maple, Box elder; All identified tree pollen not counted elsewhere",0.0,Low,,3.0,Low,"Grass Family, all types",0.0,Low,,
2021-05-25,Allergy Clinic,11.0,Low,"Pine Family with air bladders; All identified tree pollen not counted elsewhere; Juniper family, Cedar",0.0,Low,,1.0,Low,"Grass Family, all types",0.0,Low,,
2021-05-26,Allergy Clinic,4.0,Low,"All identified tree pollen not counted elsewhere; Willow; Juniper family, Cedar",0.0,Low,,5.0,Medium,"Grass Family, all types",0.0,Low,,
2021-05-27,Allergy Clinic,16.0,Medium,"Juniper family, Cedar; Pine Family with air bladders; All identified tree pollen not counted elsewhere",0.0,Low,,38.0,High,"Grass Family, all types",0.0,Low,,
2021-06-02,Allergy Clinic,22.0,Medium,"Oak; Juniper family, Cedar; Alder",0.0,Low,,16.0,Medium,"Grass Family, all types",0.0,Low,,
2021-06-03,Allergy Clinic,29.0,Medium,"Juniper family, Cedar; Alder; Elm",0.0,Low,,28.0,High,"Grass Family, all types",0.0,Low,,
2021-06-08,Allergy Clinic,4.0,Low,All identified tree pollen not counted elsewhere; Pine Family with air bladders,0.0,Low,,21.0,High,"Grass Family, all types",0.0,Low,,
2021-06-09,Allergy Clinic,32.0,Medium,"Alder; Juniper family, Cedar; All identified tree pollen not counted elsewhere",0.0,Low,,28.0,High,"Grass Family, all types",0.0,Low,,
2021-06-10,Allergy Clinic,18.0,Medium,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Pine Family with air bladders",0.0,Low,,26.0,High,"Grass Family, all types",0.0,Low,,
2021-06-15,Allergy Clinic,29.0,Medium,"Juniper family, Cedar; Poplar, Cottonwood, Aspen; All identified tree pollen not counted elsewhere",0.0,Low,,30.0,High,"Grass Family, all types",0.0,Low,,
2021-06-16,Allergy Clinic,6.0,Low,"Juniper family, Cedar; All identified tree pollen not counted elsewhere; Pine Family with air bladders",0.0,Low,,15.0,Medium,"Grass Family, all types",0.0,Low,,
2021-06-17,Allergy Clinic,7.0,Low,"All identified tree pollen not counted elsewhere; Juniper family, Cedar; Pine Family with air bladders",0.0,Low,,14.0,Medium,"Grass Family, all types",0.0,Low,,
