date,station,tree_total,tree_level,top_tree_species,weed_total,weed_level,top_weed_species,grass_total,grass_level,top_grass_species,mold_total,mold_level,top_mold_species,weather_notes
2003-03-03,Northwest Asthma & Allergy Center,1503.0,Very High,"Juniper family, Cedar; Alder; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-04,Northwest Asthma & Allergy Center,1369.0,Very High,"Juniper family, Cedar; Alder; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-05,Northwest Asthma & Allergy Center,565.0,High,"Juniper family, Cedar; Alder; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-06,Northwest Asthma & Allergy Center,152.0,Medium,"Alder; Juniper family, Cedar; Elm",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-07,Northwest Asthma & Allergy Center,22.0,Low,"Juniper family, Cedar; Alder",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-10,Northwest Asthma & Allergy Center,226.0,High,"Juniper family, Cedar; Alder; Willow",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-11,Northwest Asthma & Allergy Center,72.0,Medium,"Alder; Juniper family, Cedar; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-12,Northwest Asthma & Allergy Center,759.0,Very High,"Alder; Juniper family, Cedar; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-13,Northwest Asthma & Allergy Center,1193.0,Very High,"Alder; Juniper family, Cedar; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-14,Northwest Asthma & Allergy Center,999.0,Very High,"Alder; Juniper family, Cedar; Poplar, Cottonwood, Aspen",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-17,Northwest Asthma & Allergy Center,662.0,Very High,"Alder; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-18,Northwest Asthma & Allergy Center,337.0,High,"Alder; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-19,Northwest Asthma & Allergy Center,307.0,High,"Poplar, Cottonwood, Aspen; Alder; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-20,Northwest Asthma & Allergy Center,488.0,High,"Poplar, Cottonwood, Aspen; Alder; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-24,Northwest Asthma & Allergy Center,312.0,High,"Alder; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,1.0,Low,"Grass Family, all types",0.0,Not Present,,
2003-03-25,Northwest Asthma & Allergy Center,374.0,High,"Juniper family, Cedar; Alder; Poplar, Cottonwood, Aspen",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-26,Northwest Asthma & Allergy Center,121.0,Medium,"Alder; Juniper family, Cedar; Poplar, Cottonwood, Aspen",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-27,Northwest Asthma & Allergy Center,150.0,Medium,"Juniper family, Cedar; Alder; Sycamore, Plane-tree",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-28,Northwest Asthma & Allergy Center,408.0,High,"Alder; Juniper family, Cedar; Birch",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-03-31,Northwest Asthma & Allergy Center,124.0,Medium,"Birch; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-04-01,Northwest Asthma & Allergy Center,47.0,Low,"Juniper family, Cedar; Birch; Poplar, Cottonwood, Aspen",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-04-02,Northwest Asthma & Allergy Center,101.0,Medium,"Birch; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
2003-04-03,Northwest Asthma & Allergy Center,26.0,Low,"Birch; Poplar, Cottonwood, Aspen; Juniper family, Cedar",0.0,Not Present,,0.0,Not Present,,0.0,Not Present,,
